,Calls_Alley,Time_Alleys,Calls_All_Out,Time_All_Out,Calls_One_Out,Time_One_Out
0414,138.0,59.0289855072,81.0,4.0,142,12.2535211268
0421,47.0,82.6808510638,51.0,4.29411764706,64,18.546875
0422,71.0,64.7042253521,25.0,4.72,77,8.42857142857
0423,134.0,50.6940298507,59.0,3.08474576271,151,8.79470198675
0424,92.0,67.9130434783,68.0,3.92647058824,92,9.61956521739
0431,64.0,57.75,89.0,2.88764044944,127,9.25984251969
0432,120.0,58.9916666667,137.0,4.10218978102,190,11.0578947368
0433,136.0,54.0147058824,147.0,3.5306122449,204,8.64705882353
0434,25.0,72.24,62.0,2.45161290323,36,6.55555555556
0511,161.0,39.3229813665,91.0,2.65934065934,160,7.8375
0512,79.0,60.5696202532,45.0,3.51111111111,103,8.63106796117
0513,39.0,36.1282051282,52.0,2.36538461538,83,13.9759036145
0522,78.0,57.6153846154,57.0,3.68421052632,111,12.3153153153
0523,95.0,65.4947368421,80.0,3.3875,161,9.34782608696
0524,153.0,77.7189542484,75.0,3.34666666667,99,23.9595959596
0531,37.0,53.8108108108,28.0,2.10714285714,44,11.5909090909
0532,57.0,69.1052631579,60.0,2.53333333333,86,11.9186046512
0533,15.0,102.533333333,42.0,3.11904761905,39,27.0512820513
0611,55.0,72.0363636364,46.0,2.97826086957,68,19.3529411765
0612,66.0,78.4090909091,58.0,3.05172413793,52,22.9230769231
0613,58.0,92.1206896552,27.0,3.96296296296,58,15.8448275862
0614,92.0,65.2608695652,105.0,3.01904761905,112,18.3125
0621,29.0,76.1724137931,49.0,3.73469387755,60,14.9
0622,30.0,48.3666666667,35.0,2.85714285714,50,20.2
0623,65.0,50.3692307692,84.0,2.69047619048,87,16.1264367816
0624,77.0,45.6753246753,69.0,2.86956521739,93,11.6559139785
0631,43.0,42.2093023256,45.0,3.57777777778,77,12.7922077922
0632,66.0,39.9696969697,47.0,2.91489361702,129,9.12403100775
0633,53.0,46.2641509434,39.0,2.33333333333,95,8.55789473684
0634,32.0,49.90625,33.0,2.09090909091,55,12.4727272727
0711,24.0,80.5416666667,48.0,4.5625,41,14.5609756098
0712,42.0,70.619047619,33.0,8.93939393939,22,48.9090909091
0713,29.0,59.8275862069,29.0,4.0,25,24.6
0714,22.0,110.136363636,48.0,3.29166666667,30,18.0
0715,33.0,89.6363636364,24.0,4.5,24,19.375
0722,16.0,45.625,34.0,2.64705882353,36,7.58333333333
0723,23.0,52.7826086957,31.0,5.22580645161,41,14.0731707317
0724,27.0,77.3703703704,36.0,3.91666666667,40,15.45
0725,24.0,98.5833333333,34.0,3.47058823529,25,27.96
0726,11.0,79.0,39.0,3.61538461538,40,15.625
0731,12.0,29.1666666667,21.0,2.57142857143,36,10.8611111111
0732,22.0,59.9545454545,33.0,3.51515151515,33,12.2121212121
0733,20.0,49.35,32.0,3.875,41,9.82926829268
0734,25.0,75.48,44.0,3.52272727273,51,16.8235294118
0735,29.0,87.4827586207,39.0,3.02564102564,39,13.641025641
0811,240.0,50.3916666667,182.0,3.23076923077,324,13.1265432099
0812,202.0,32.301980198,111.0,3.87387387387,156,13.5448717949
0813,257.0,44.9221789883,109.0,3.44036697248,167,20.9101796407
0814,98.0,49.6428571429,68.0,2.5,113,18.1681415929
0815,154.0,43.0974025974,89.0,2.60674157303,145,22.8068965517
0821,39.0,47.4102564103,50.0,2.64,73,23.2328767123
0822,175.0,49.4285714286,83.0,3.10843373494,125,10.72
0823,125.0,85.264,91.0,3.47252747253,98,23.5306122449
0824,46.0,77.4782608696,82.0,3.0243902439,46,21.1956521739
0825,48.0,99.2708333333,44.0,4.13636363636,30,31.0666666667
0831,102.0,70.6666666667,84.0,3.83333333333,77,23.5194805195
0832,57.0,73.298245614,64.0,4.28125,59,31.1016949153
0833,143.0,55.5524475524,130.0,3.28461538462,180,21.6
0834,201.0,77.1492537313,201.0,3.13930348259,272,17.7720588235
0835,194.0,65.6597938144,181.0,2.97790055249,178,19.1853932584
0911,58.0,63.4137931034,74.0,3.01351351351,83,24.6626506024
0912,108.0,81.6574074074,85.0,2.77647058824,130,16.2153846154
0913,79.0,83.6455696203,47.0,2.55319148936,106,10.2075471698
0914,72.0,54.5,79.0,3.05063291139,165,7.82424242424
0915,71.0,32.6478873239,62.0,1.5,155,8.02580645161
